"T","X","Y","datasets","days"
"2022--P1Y", -0019, -0014,   16,   16
"2022--P1Y", -0018, -0015,   25,   25
"2022--P1Y", -0018, -0014,  107,   54
"2022--P1Y", -0018, -0013,   29,   29
"2022--P1Y", -0017, -0014,  213,   54
"2022--P1Y", -0017, -0013,  106,   53
"2022--P1Y", -0016, -0014,  106,   53
"2022--P1Y", -0016, -0013,  106,   53
"2022--P1Y", -0014, +0037,   26,   25
"2022--P1Y", -0014, +0038,   51,   26
"2022--P1Y", -0013, +0037,  105,   52
"2022--P1Y", -0013, +0038,  194,   52
"2022--P1Y", -0012, +0037,   26,   26
"2022--P1Y", -0012, +0038,   45,   26
"2022--P1Y", -0004, +0041,   27,   27
"2022--P1Y", -0004, +0042,   27,   27
"2022--P1Y", -0003, +0041,   53,   27
"2022--P1Y", -0003, +0042,   53,   27
"2022--P1Y", -0002, +0041,   26,   26
"2022--P1Y", -0002, +0042,   26,   26
"2022--P1Y", +0006, +0028,    4,    4
"2022--P1Y", +0006, +0029,    9,    4
"2022--P1Y", +0006, +0030,   12,    4
"2022--P1Y", +0006, +0031,   12,    4
"2022--P1Y", +0006, +0032,    8,    4
"2022--P1Y", +0006, +0033,    8,    4
"2022--P1Y", +0007, +0024,    8,    4
"2022--P1Y", +0007, +0025,   80,   73
"2022--P1Y", +0007, +0026,  150,   73
"2022--P1Y", +0007, +0027,   78,   73
"2022--P1Y", +0007, +0028,   81,   73
"2022--P1Y", +0007, +0029,   89,   73
"2022--P1Y", +0007, +0030,  161,   73
"2022--P1Y", +0007, +0031,   86,   73
"2022--P1Y", +0007, +0032,   16,    4
"2022--P1Y", +0007, +0033,   12,    4
"2022--P1Y", +0008, +0020,    8,    4
"2022--P1Y", +0008, +0021,    8,    4
"2022--P1Y", +0008, +0022,    8,    4
"2022--P1Y", +0008, +0023,  159,   73
"2022--P1Y", +0008, +0024,  321,  146
"2022--P1Y", +0008, +0025,  430,  146
"2022--P1Y", +0008, +0026,  656,  146
"2022--P1Y", +0008, +0027,  535,  146
"2022--P1Y", +0008, +0028,  378,  146
"2022--P1Y", +0008, +0029,  455,  146
"2022--P1Y", +0008, +0030,  664,  146
"2022--P1Y", +0008, +0031,  612,  146
"2022--P1Y", +0008, +0032,  168,   73
"2022--P1Y", +0008, +0033,   10,    4
"2022--P1Y", +0009, +0020,   16,    4
"2022--P1Y", +0009, +0021,   85,   73
"2022--P1Y", +0009, +0022,  302,   73
"2022--P1Y", +0009, +0023,  450,   73
"2022--P1Y", +0009, +0024,  422,  102
"2022--P1Y", +0009, +0025,  531,  146
"2022--P1Y", +0009, +0026,  546,  146
"2022--P1Y", +0009, +0027,  644,  146
"2022--P1Y", +0009, +0028,  829,  146
"2022--P1Y", +0009, +0029,  894,  146
"2022--P1Y", +0009, +0030,  736,  146
"2022--P1Y", +0009, +0031,  767,  146
"2022--P1Y", +0009, +0032,  475,  146
"2022--P1Y", +0009, +0033,  107,   74
"2022--P1Y", +0009, +0034,   20,    4
"2022--P1Y", +0009, +0035,    8,    4
"2022--P1Y", +0009, +0040,   12,    4
"2022--P1Y", +0009, +0041,    4,    4
"2022--P1Y", +0009, +0044,    2,    2
"2022--P1Y", +0009, +0045,    3,    3
"2022--P1Y", +0010, +0016,   24,    4
"2022--P1Y", +0010, +0017,   20,    4
"2022--P1Y", +0010, +0018,   16,    4
"2022--P1Y", +0010, +0019,   16,    4
"2022--P1Y", +0010, +0020,  178,  145
"2022--P1Y", +0010, +0021,  390,  146
"2022--P1Y", +0010, +0022,  667,  146
"2022--P1Y", +0010, +0023,  890,  146
"2022--P1Y", +0010, +0024,  656,  146
"2022--P1Y", +0010, +0025,  447,  146
"2022--P1Y", +0010, +0026,  393,   73
"2022--P1Y", +0010, +0027,  498,   73
"2022--P1Y", +0010, +0028,  490,   73
"2022--P1Y", +0010, +0029,  442,   73
